Time,Unnamed: 1,Open,High,Low,Close,Volume
2003.09.30,00:00,1.1616,1.1739,1.1572,1.1658,11878
2003.10.01,00:00,1.1655,1.1739,1.1643,1.1731,10253
2003.10.02,00:00,1.1731,1.1771,1.1662,1.1685,11161
2003.10.03,00:00,1.1686,1.1724,1.1551,1.1582,10255
2003.10.06,00:00,1.1574,1.1726,1.1531,1.1714,10041
2003.10.07,00:00,1.1713,1.1815,1.1697,1.1773,10416
2003.10.08,00:00,1.1773,1.1843,1.1765,1.1821,10377
2003.10.09,00:00,1.1821,1.1865,1.1685,1.1745,10622
2003.10.10,00:00,1.1745,1.1851,1.1703,1.1799,9808
2003.10.13,00:00,1.1809,1.1819,1.1652,1.1714,9213
2003.10.14,00:00,1.1713,1.1767,1.1582,1.1733,11259
2003.10.15,00:00,1.1732,1.1748,1.1588,1.1616,11078
2003.10.16,00:00,1.1616,1.1698,1.1569,1.1599,10722
2003.10.17,00:00,1.1599,1.1687,1.1544,1.1679,10002
2003.10.20,00:00,1.1704,1.1718,1.1602,1.1627,10654
2003.10.21,00:00,1.1626,1.1704,1.1617,1.1671,9923
2003.10.22,00:00,1.1668,1.183,1.165,1.1807,10254
2003.10.23,00:00,1.1809,1.1847,1.1755,1.1798,10444
2003.10.24,00:00,1.1797,1.186,1.1762,1.1786,10219
2003.10.27,00:00,1.1773,1.1787,1.1719,1.1739,10228
2003.10.28,00:00,1.1739,1.1746,1.1657,1.1676,10816
2003.10.29,00:00,1.1677,1.1723,1.1658,1.1667,9994
2003.10.30,00:00,1.1667,1.1759,1.1611,1.1627,10402
2003.10.31,00:00,1.1626,1.166,1.1563,1.1586,9881
2003.11.03,00:00,1.158,1.1623,1.1428,1.1466,9234
2003.11.04,00:00,1.1466,1.1515,1.1427,1.1494,8800
2003.11.05,00:00,1.1493,1.1501,1.1413,1.1438,8890
2003.11.06,00:00,1.1439,1.1468,1.1389,1.1414,9805
2003.11.07,00:00,1.1411,1.1545,1.1376,1.152,10120
2003.11.10,00:00,1.1503,1.1538,1.1461,1.147,9492
2003.11.11,00:00,1.147,1.1533,1.1444,1.1519,9222
2003.11.12,00:00,1.1514,1.1663,1.1506,1.163,10121
2003.11.13,00:00,1.1629,1.1749,1.1629,1.1735,10474
2003.11.14,00:00,1.1735,1.1806,1.1728,1.1784,10597
2003.11.17,00:00,1.1814,1.1852,1.1724,1.1748,10533
2003.11.18,00:00,1.1747,1.1978,1.1735,1.1965,10855
2003.11.19,00:00,1.1968,1.1981,1.1873,1.1892,11334
2003.11.20,00:00,1.1893,1.1968,1.1881,1.1911,10451
2003.11.21,00:00,1.1911,1.1941,1.1856,1.1925,10086
2003.11.24,00:00,1.1912,1.1921,1.1759,1.1773,9384
2003.11.25,00:00,1.1773,1.1823,1.1754,1.18,10270
2003.11.26,00:00,1.18,1.195,1.1772,1.1932,10541
2003.11.27,00:00,1.1928,1.1944,1.1886,1.1916,8506
2003.11.28,00:00,1.1916,1.2019,1.1899,1.1998,9409
2003.12.01,00:00,1.1988,1.2044,1.1935,1.1971,10816
2003.12.02,00:00,1.1968,1.2116,1.1943,1.2106,10652
2003.12.03,00:00,1.2106,1.2131,1.2064,1.2118,10907
2003.12.04,00:00,1.2117,1.2159,1.2028,1.2083,10818
2003.12.05,00:00,1.2085,1.2188,1.2062,1.2188,10641
2003.12.08,00:00,1.2167,1.2242,1.2151,1.223,10256
2003.12.09,00:00,1.2228,1.2278,1.2186,1.2249,10267
2003.12.10,00:00,1.2249,1.2268,1.2151,1.2213,11137
2003.12.11,00:00,1.2212,1.2237,1.2114,1.2226,10957
2003.12.12,00:00,1.2227,1.2309,1.2208,1.2276,10067
2003.12.15,00:00,1.2133,1.2327,1.2132,1.2315,11213
2003.12.16,00:00,1.2314,1.2365,1.2302,1.2333,10907
2003.12.17,00:00,1.2334,1.2424,1.2296,1.2404,10727
2003.12.18,00:00,1.24,1.2443,1.2359,1.2423,10801
2003.12.19,00:00,1.2421,1.2435,1.2344,1.2382,9581
2003.12.22,00:00,1.2382,1.2449,1.235,1.2408,9829
2003.12.23,00:00,1.2404,1.243,1.2384,1.2405,9181
2003.12.24,00:00,1.2407,1.2473,1.2395,1.2448,8373
2003.12.25,00:00,1.2449,1.2464,1.2437,1.2449,3141
2003.12.26,00:00,1.245,1.2472,1.2421,1.2422,6107
2003.12.29,00:00,1.2433,1.2512,1.2426,1.2492,9148
2003.12.30,00:00,1.2492,1.2565,1.2478,1.2549,9091
2003.12.31,00:00,1.255,1.2649,1.2512,1.2596,8747
2004.01.01,00:00,1.2592,1.2606,1.2533,1.2565,991
2004.01.02,00:00,1.257,1.2631,1.2523,1.2596,9467
2004.01.05,00:00,1.2609,1.2698,1.2608,1.2677,10840
2004.01.06,00:00,1.2677,1.2814,1.2667,1.2728,10592
2004.01.07,00:00,1.2727,1.2747,1.2621,1.2628,10776
2004.01.08,00:00,1.2632,1.2786,1.256,1.2776,11342
2004.01.09,00:00,1.2778,1.287,1.2703,1.282,10925
2004.01.12,00:00,1.2842,1.2901,1.2735,1.2738,10775
2004.01.13,00:00,1.274,1.28,1.2712,1.2771,11529
